title,price,rating,count_review,availability
"HP Flagship 15.6 HD Student Laptop Computer, Intel Quad-Core Pentium N200 (Beat i5-8250U), 16GB RAM, 128GB SSD, 1 Year Microsoft Office 365, Win 11,WiFi, Webcam, Fast Charge, HDMI, 4in1 Accessory",$299.99,4.5 out of 5 stars,51 ratings,In Stock
"Lenovo Ideapad Touchscreen 15.6"" FHD Essential Laptop, Intel 12th Gen 6-Core i3 Processor (Up to 4.4GHz, Beat i5-1155G7), 24GB RAM, 1TB SSD, Webcam, Bluetooth, Wi-Fi 6, Win 11, GM Accessories",$449.99,3.7 out of 5 stars,11 ratings,In Stock
"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",$304.99,4.3 out of 5 stars,330 ratings,In Stock
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$186.00,3.9 out of 5 stars,"1,599 ratings",In Stock
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$224.99,4.0 out of 5 stars,"1,661 ratings",Only 12 left in stock - order soon.
"16 Inch Laptop Computer, Gaming Laptop, 16GB RAM 512GB SSD, Intel 12th Gen N95 Processor(up to 3.4GHz), FHD 1920 * 1200, 180 Angle Opening, Fingerprint Unlock, Backlit Keyboard, Windows 11 Pro",$296.99,4.0 out of 5 stars,434 ratings,Only 5 left in stock - order soon.
"NIMO 15.6 FHD Student Laptop, 16GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint, Intel Pentium Quad-Core N100 (Beat to i3-1115G4, Up to 3.4GHz), 2 Years Warranty, 90 Days Return, WiFi 6, Win 11",$339.99,4.4 out of 5 stars,117 ratings,In Stock
"15.6"" Laptop Computer, Gaming Laptop,16GB RAM 512GB SSD. Intel Celeron N5095 Processors(up to 2.9GHz),1920 * 1200 Display, USB 3.0, Bluetooth 4.2, Type-C, Mini-HDMI, 38000mWh Battery.",$249.99,4.3 out of 5 stars,36 ratings,In Stock
"VGKE C15 Windows 11 Laptop 15.6"" FHD, Full Size Backlit Keyboard with Fingerprint Reader, Intel Celeron N5095 Processor Quad-Core, 12GB RAM DDR4, 256GB SSD(Silver)",$319.99,4.0 out of 5 stars,235 ratings,In Stock
"jumper Laptop, 16 Inch FHD IPS 1200p Screen, 5305U Processor, 4GB RAM 128GB SSD, Office 365 1-Year Subscription, Computer with Numeric Keypad, Stereo Speakers, HDMI, WiFi.",$229.99,4.7 out of 5 stars,31 ratings,In Stock
